Transaction Number,Items Bought
1,"['Pencil', 'Notebook']"
2,"['Pen', 'Notebook']"
3,"['Binder', 'Paper']"
4,"['Printer', 'Paper']"
5,"['Tablet', 'Pen']"
6,"['Eraser', 'Pencil']"
7,"['Stapler', 'Staples']"
8,"['Pen', 'Eraser']"
9,"['Notebook', 'Binder']"
10,"['Tablet', 'Notebook']"
11,"['Pencil', 'Binder']"
12,"['Printer', 'Notebook']"
13,"['Paper', 'Printer']"
14,"['Eraser', 'Notebook']"
15,"['Stapler', 'Paper']"
16,"['Pencil', 'Stapler']"
17,"['Pen', 'Pencil']"
18,"['Tablet', 'Eraser']"
19,"['Printer', 'Pen']"
20,"['Binder', 'Staples']"
